arm,stt,citation_recall,citation_precision,citation_f1,citation_display_rate,bertscore_p,bertscore_r,bertscore_f1,rouge1,rouge2,rougeL,bleu,latency_s,prolog_first_try_solution,repair_invoked,repair_success,pred_citation_parse_errors,record_path
logic_lm_hyde_semantic,109,0.0,0.0,0.0,1.0,0.6827,0.6978,0.6902,0.4688,0.1474,0.2708,0.0268,24.464,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A109.json
logic_lm_hyde_semantic,110,0.0,0.0,0.0,1.0,0.6971,0.6879,0.6925,0.5622,0.1749,0.3135,0.0179,21.599,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A110.json
logic_lm_hyde_semantic,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.52,False,True,False,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A116.json
logic_lm_hyde_semantic,119,0.0,0.0,0.0,1.0,0.7305,0.7351,0.7328,0.5584,0.2667,0.3553,0.0334,17.923,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A119.json
logic_lm_hyde_semantic,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.287,False,True,False,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A12.json
logic_lm_hyde_semantic,131,0.0,0.0,0.0,0.0,0.5317,0.5438,0.5377,0.0153,0.0,0.0153,0.0021,27.703,False,True,False,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A131.json
logic_lm_hyde_semantic,139,0.0,0.0,0.0,1.0,0.7121,0.6894,0.7006,0.5096,0.0777,0.2692,0.0088,28.435,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A139.json
logic_lm_hyde_semantic,141,0.0,0.0,0.0,1.0,0.6713,0.6951,0.683,0.5575,0.1875,0.2832,0.0211,27.822,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A141.json
logic_lm_hyde_semantic,145,0.0,0.0,0.0,1.0,0.6675,0.6869,0.6771,0.4916,0.1582,0.2682,0.017,15.974,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A145.json
logic_lm_hyde_semantic,152,0.0,0.0,0.0,1.0,0.7038,0.6964,0.7001,0.555,0.1932,0.2967,0.0317,21.666,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A152.json
logic_lm_hyde_semantic,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.064,False,True,False,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A153.json
logic_lm_hyde_semantic,156,0.0,0.0,0.0,1.0,0.6798,0.7113,0.6951,0.5636,0.1651,0.3091,0.0181,21.298,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A156.json
logic_lm_hyde_semantic,165,0.0,0.0,0.0,1.0,0.7406,0.731,0.7357,0.5475,0.2938,0.3464,0.1825,28.529,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A165.json
logic_lm_hyde_semantic,168,0.0,0.0,0.0,1.0,0.7136,0.7289,0.7212,0.5778,0.2601,0.3556,0.09,23.254,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A168.json
logic_lm_hyde_semantic,171,0.0,0.0,0.0,1.0,0.7671,0.7401,0.7534,0.6768,0.3571,0.4242,0.201,19.348,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A171.json
logic_lm_hyde_semantic,176,0.0,0.0,0.0,1.0,0.6887,0.7077,0.6981,0.5825,0.1863,0.3204,0.0251,21.631,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A176.json
logic_lm_hyde_semantic,184,0.0,0.0,0.0,1.0,0.6911,0.7128,0.7018,0.5556,0.1589,0.2593,0.0196,22.605,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A184.json
logic_lm_hyde_semantic,185,0.0,0.0,0.0,1.0,0.7284,0.6976,0.7127,0.6117,0.1471,0.3107,0.0157,20.236,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A185.json
logic_lm_hyde_semantic,188,0.0,0.0,0.0,1.0,0.7054,0.7079,0.7067,0.5517,0.1592,0.2956,0.0216,18.65,True,False,,,E:\legal-graph-kb\experiments\02_logic_lm_hyde_semantic\results\logic_lm_hyde_semantic\A188.json
